M1,M2,psep
0.290,0.175,3.5
0.540,0.175,11.7
0.355,0.120,17.4
0.245,0.120,4.9
0.420,0.355,45.5
0.290,0.290,47.0
0.245,0.175,15.8
0.630,0.590,79.3
0.540,0.420,16.0
0.540,0.200,94.4
0.150,0.120,2.7
0.565,0.540,71.4
0.630,0.135,192.8
0.200,0.150,7.4
0.590,0.175,331.3
0.245,0.200,7.8
0.200,0.200,31.4
0.245,0.245,10.5
0.610,0.245,30.2
0.200,0.175,10.3
0.290,0.290,72.6
0.245,0.175,19.0
0.175,0.175,43.4
0.175,0.115,2.1
0.200,0.150,2.1
0.355,0.150,17.1
0.355,0.102,94.7
0.245,0.175,175.0
0.200,0.150,3.9
0.245,0.150,102.9
0.290,0.290,59.4
0.290,0.175,78.2
0.200,0.175,3.2
0.480,0.245,19.2
0.245,0.245,6.1
0.630,0.175,167.3
0.290,0.135,212.4
0.175,0.083,21.1
0.590,0.245,32.1
0.540,0.150,25.7
0.420,0.245,12.1
0.200,0.175,7.2
0.175,0.135,2.2
0.175,0.120,9.3
0.420,0.150,12.5
0.590,0.245,17.3
0.245,0.175,11.1
0.200,0.135,10.0
0.590,0.290,7.4
0.480,0.290,61.2
0.290,0.245,25.4
0.200,0.135,2.3
0.630,0.480,24.5
0.290,0.245,27.7
0.420,0.355,96.8
0.355,0.120,227.1
0.245,0.135,59.5
0.355,0.290,47.9
0.200,0.175,63.0
0.540,0.175,31.6
0.420,0.355,60.9
0.630,0.610,43.3
0.175,0.150,6.4
0.245,0.200,17.7
0.290,0.200,5.4
0.290,0.120,101.2
0.420,0.245,5.6
0.355,0.200,148.7
0.355,0.175,116.1
0.175,0.150,23.8
0.700,0.135,185.9
0.630,0.355,148.9
0.290,0.200,164.6
0.200,0.200,132.3
0.245,0.175,151.2
0.200,0.150,2.3
0.245,0.245,61.2
0.245,0.150,3.3
0.245,0.150,6.5
0.245,0.150,27.3
0.540,0.420,38.2
0.420,0.420,114.6
0.480,0.175,236.1
0.290,0.200,11.0
0.290,0.150,38.3
0.200,0.200,62.0
0.355,0.200,32.2
0.480,0.200,63.1
0.290,0.290,58.3
0.290,0.150,5.1
0.200,0.175,4.1
0.480,0.245,7.4
0.540,0.290,8.5
0.290,0.200,10.8
0.480,0.355,110.0
0.290,0.200,8.1
0.245,0.150,99.1
0.175,0.135,6.8
0.290,0.290,98.5
0.290,0.290,81.5
0.290,0.245,7.9
0.540,0.480,89.1
0.355,0.245,20.0
0.200,0.110,17.8
0.420,0.245,3.6
0.565,0.355,3.6
0.480,0.355,6.2
0.200,0.150,7.3
0.290,0.175,20.4
0.200,0.175,12.3
0.245,0.245,83.6
0.200,0.120,9.0
0.290,0.150,133.3
0.200,0.135,3.6
0.200,0.150,8.4
0.200,0.150,7.1
0.355,0.150,24.3
0.480,0.200,25.3
0.480,0.290,17.0
0.200,0.175,7.6
0.200,0.175,12.0
0.290,0.200,38.5
0.355,0.088,83.5
0.245,0.135,11.2
0.290,0.150,112.6
0.480,0.245,108.9
0.290,0.290,252.1
0.290,0.135,7.6
0.290,0.200,29.4
0.355,0.290,44.4
0.120,0.115,7.2
0.355,0.355,91.4
0.480,0.200,91.9
0.420,0.290,86.2
0.245,0.245,7.2
0.420,0.200,372.1
0.420,0.200,4.4
0.420,0.200,44.1
0.245,0.200,28.2
0.245,0.175,202.9
0.480,0.290,13.3
0.355,0.245,39.2
0.150,0.120,8.3
0.245,0.175,7.1
0.480,0.200,50.4
0.630,0.420,178.2
0.290,0.200,19.0
0.420,0.200,5.8
0.420,0.245,68.2
0.245,0.200,29.3
0.200,0.150,3.7
0.355,0.355,149.3
0.700,0.245,1836.0
0.420,0.355,62.1
0.565,0.420,449.2
0.175,0.135,24.6
0.175,0.150,5.7
0.355,0.135,25.6
0.420,0.200,18.8
0.200,0.120,17.0
0.540,0.102,197.3
0.355,0.245,25.9
0.420,0.135,12.8
0.420,0.175,215.2
0.590,0.355,7.1
0.200,0.135,55.2
0.420,0.290,1.3
0.290,0.200,17.9
0.565,0.480,60.1
0.290,0.150,26.2
0.420,0.420,95.2
0.565,0.355,27.4
0.630,0.610,64.6
0.565,0.420,323.9
0.565,0.480,65.9
0.590,0.150,171.0
0.245,0.175,16.5
0.700,0.610,37.9
0.480,0.200,10.8
0.480,0.245,30.6
0.420,0.200,3.3
0.355,0.200,12.2
0.245,0.175,42.6
0.245,0.120,52.1
0.200,0.175,8.4
0.355,0.245,19.5
0.590,0.420,5.4
0.245,0.175,18.5
0.290,0.200,3.5
0.245,0.245,118.8
0.480,0.355,95.0
0.245,0.175,3.7
0.200,0.175,22.5
0.590,0.245,72.8
0.630,0.245,20.7
0.290,0.245,5.5
0.540,0.290,573.2
0.480,0.420,73.1
0.290,0.290,23.5
0.200,0.150,3.3
0.355,0.290,56.3
0.245,0.245,12.6
0.135,0.135,40.4
0.590,0.290,9.7
0.565,0.480,15.8
0.290,0.175,6.3
0.175,0.120,3.2
0.290,0.245,4.6
0.540,0.245,6.4
0.540,0.540,72.1
0.245,0.175,6.7
0.200,0.175,9.5
0.200,0.135,13.6
0.420,0.420,78.6
