sep, m1, m2
140, .33, .14
5.2, .10, .10
2400, .57, .46
40, .53, .19
16, .29, .20
3.8, .19, .11
550, .39, .27
14.5, .57, .26
190, .37, .10
3.1, .14, .12
44, .44, .43
6, .27, .21
52, .41, .09
240, .25, .11
2.1, .32, .08
1.4, .33, .31
1730, .33, .09
4.5, .32, .29
210, .30, .20
2075, .53, .22
49, .29, .22
.07, .32, .30
1300, .27, .27
545, .42, .08
38, .33, .32
12, .42, .30
1, .27, .27
1, .22, .12
110, .16, .14
9.4, .25, .15
1.2, .15, .12
175, .49, .27
44, .32, .21
30, .12, .11
48, .14, .13
1.4, .14, .10
