HIP,aproj,Mprim,Msec,SpType
1242,0.9,0.18,0.14,"M4"
1242,1.0,0.15,0.11,"M4"
1475,130.2,0.42,0.16,"M3.5"
1475,134.1,0.42,0.16,"M3.5"
2552,40.2,0.4,0.22,"M2"
2552,40.0,0.4,0.22,"M2"
2552,3.9,0.46,0.25,"M2"
2552,4.0,0.4,0.21,"M2"
3937,12.1,0.26,0.19,"M3.5"
3937,20.0,0.26,0.19,"M3.5"
4872,2943.5,0.56,0.2,"M1.5"
4872,2952.0,0.56,0.2,"M1.5"
5496,0.7,0.52,0.45,"M2.0"
5496,0.5,0.43,0.36,"M2.0"
9724,5.7,0.47,0.11,"M2.5"
9724,4.8,0.47,0.11,"M2.5"
10617,1512.1,0.4,0.27,"M3.0"
10617,1511.0,0.4,0.27,"M3.0"
15220,81.2,0.5,0.49,"M2"
15220,97.2,0.5,0.49,"M2"
22738,83.1,0.35,0.25,"M2.0"
22738,85.0,0.36,0.25,"M2.0"
23452,7.6,0.59,0.37,"K7"
23452,6.9,0.59,0.37,"K7"
23518,76.1,0.54,0.08,"M0.5"
23518,76.0,0.54,0.08,"M0.5"
23932,0.7,0.43,0.41,"M3.5"
23932,0.6,0.43,0.41,"M3.5"
28368,2199.6,0.53,0.22,"M0.5"
28368,2208.0,0.53,0.22,"M0.5"
29316,6.3,0.45,0.22,"M2.5"
29316,19.0,0.45,0.22,"M2.5"
30920,4.4,0.24,0.13,"M4.5"
30920,5.6,0.21,0.1,"M4.5"
31293,209.4,0.45,0.32,"M2V"
31293,207.3,0.45,0.32,"M2V"
33142,1.9,0.32,0.25,"M3"
33142,3.0,0.32,0.25,"M3"
33499,6.6,0.24,0.24,"M3.0"
35191,0.8,0.39,0.34,"M2.5"
35191,0.7,0.39,0.34,"M2.5"
36208,0.6,0.24,0.14,"M3.5"
36626,451.5,0.51,0.39,"M2.5"
36626,456.0,0.51,0.39,"M2.5"
36626,18.1,0.51,0.21,"M2.5"
36626,8.0,0.51,0.21,"M2.5"
41824,106.0,0.38,0.13,"M3.5"
41824,110.0,0.38,0.13,"M3.5"
41824,114.2,0.38,0.17,"M3.5"
41824,113.0,0.38,0.17,"M3.5"
41824,7.2,0.38,0.11,"M3.5"
41824,7.0,0.38,0.11,"M3.5"
46706,5.2,0.54,0.53,"M3"
46706,7.0,0.42,0.41,"M3"
47620,1091.8,0.52,0.46,"M2"
47620,1096.0,0.52,0.46,"M2"
49969,1.9,0.49,0.36,"M2.5"
49969,2.0,0.43,0.29,"M2.5"
54211,154.7,0.4,0.1,"M6"
54211,147.0,0.4,0.1,"M6"
59406,1071.7,0.36,0.26,"M3"
59406,1066.0,0.36,0.26,"M3"
60910,0.9,0.32,0.22,"M3.5"
62556,3.3,0.37,0.28,"M3"
62556,2.0,0.37,0.28,"M3"
63510,2.8,0.58,0.12,"M0.5"
63510,3.2,0.58,0.12,"M0.5"
65011,236.1,0.63,0.3,"M0.5"
65011,260.0,0.63,0.3,"M0.5"
65026,13.5,0.67,0.52,"M0.5"
65026,7.0,0.67,0.52,"M0.5"
65714,106.2,0.48,0.22,"M3"
65714,123.0,0.48,0.22,"M3"
71898,29.7,0.4,0.08,"M1.5"
71898,31.0,0.4,0.08,"M1.5"
72896,10.3,0.37,0.25,"M3.5"
72896,11.0,0.29,0.2,"M3.5"
72944,48.4,0.49,0.08,"M2"
72944,48.1,0.49,0.08,"M2"
72944,47.4,0.49,0.09,"M2"
72944,47.5,0.49,0.09,"M2"
73470,18.1,0.62,0.25,"K7"
73470,16.0,0.6,0.24,"K7"
79755,693.2,0.66,0.47,"K7"
79755,684.0,0.66,0.47,"K7"
80018,37.0,0.38,0.1,"M2.0"
80018,41.0,0.38,0.1,"M2.0"
82817,1437.4,0.43,0.09,"M3"
82817,1440.0,0.43,0.09,"M3"
82817,450.7,0.43,0.2,"M3"
82817,453.0,0.43,0.2,"M3"
82817,1.4,0.43,0.38,"M3"
82817,0.7,0.43,0.38,"M3"
84140,1.5,0.47,0.47,"M3.5"
84140,6.6,0.34,0.34,"M3.5"
84794,194.9,0.44,0.29,"M3.5"
84794,183.0,0.44,0.29,"M3.5"
86057,38.3,0.45,0.18,"M1.5"
86057,37.0,0.45,0.18,"M1.5"
86214,0.9,0.23,0.14,"M3.5"
91772,42.8,0.26,0.19,"M3"
91772,44.7,0.26,0.19,"M3"
93899,1010.1,0.32,0.32,"M2"
93899,1020.0,0.32,0.32,"M2"
94349,1.7,0.41,0.28,"M3.5"
94349,0.8,0.34,0.23,"M3.5"
94761,442.4,0.49,0.09,"M2.5"
94761,428.0,0.49,0.09,"M2.5"
97292,76.0,0.49,0.37,"M1"
99150,621.0,0.37,0.33,"M3.0"
99150,619.0,0.37,0.33,"M3.0"
102141,26.8,0.66,0.65,"M4.5"
102141,30.0,0.54,0.53,"M4.5"
106255,1.3,0.31,0.17,"M4.5"
106255,1.5,0.27,0.15,"M4.5"
110893,11.8,0.32,0.2,"M3"
110893,12.9,0.27,0.17,"M3"
111766,11.4,0.38,0.34,"M3.5"
111766,10.0,0.38,0.34,"M3.5"
111802,244.1,0.6,0.32,"M1.5"
111802,225.0,0.6,0.32,"M1.5"
114046,0.2,0.44,0.25,"M0.5"
116132,32.7,0.39,0.2,"M3.5"
116132,32.0,0.35,0.17,"M3.5"
