Sp1,Sp2,M1,M2,psep,e_psep
"M3.0","M4.5",0.29,0.175,3.5,1.3
"M1.0","M4.5",0.54,0.175,11.7,4.4
"M2.5","M6.0",0.355,0.12,17.4,6.5
"M3.5","M6.0",0.245,0.12,4.9,1.8
"M2.0","M2.5",0.42,0.355,45.5,16.9
"M3.0","M3.0",0.29,0.29,47.0,17.5
"M3.5","M4.5",0.245,0.175,15.8,5.9
"K7.0","M0.0",0.63,0.59,79.3,2.0
"M1.0","M2.0",0.54,0.42,16.0,5.9
"M1.0","M4.0",0.54,0.2,94.4,9.2
"M5.0","M6.0",0.15,0.12,2.7,1.0
"M0.5","M1.0",0.565,0.54,71.4,26.4
"K7.0","M5.5",0.63,0.135,192.8,71.3
"M4.0","M5.0",0.2,0.15,7.4,2.7
"M0.0","M4.5",0.59,0.175,331.3,122.6
"M3.5","M4.0",0.245,0.2,7.8,2.9
"M4.0","M4.0",0.2,0.2,31.4,11.6
"M3.5","M3.5",0.245,0.245,10.5,3.9
"K7.5","M3.5",0.61,0.245,30.2,2.2
"M4.0","M4.5",0.2,0.175,10.3,3.9
"M3.0","M3.0",0.29,0.29,72.6,26.9
"M3.5","M4.5",0.245,0.175,19.0,7.0
"M4.5","M4.5",0.175,0.175,43.4,16.1
"M4.5","M6.5",0.175,0.115,2.1,0.7
"M4.0","M5.0",0.2,0.15,2.1,0.8
"M2.5","M5.0",0.355,0.15,17.1,6.4
"M2.5","M8.0",0.355,0.102,94.7,35.1
"M3.5","M4.5",0.245,0.175,175.0,64.7
"M4.0","M5.0",0.2,0.15,3.9,1.4
"M3.5","M5.0",0.245,0.15,102.9,38.1
"M3.0","M3.0",0.29,0.29,59.4,21.9
"M3.0","M4.5",0.29,0.175,78.2,28.9
"M4.0","M4.5",0.2,0.175,3.2,1.2
"M1.5","M3.5",0.48,0.245,19.2,7.1
"M3.5","M3.5",0.245,0.245,6.1,2.3
"K7.0","M4.5",0.63,0.175,167.3,61.9
"M3.0","M5.5",0.29,0.135,212.4,78.6
"M4.5","M9.5",0.175,0.083,21.1,7.8
"M0.0","M3.5",0.59,0.245,32.1,2.9
"M1.0","M5.0",0.54,0.15,25.7,9.5
"M2.0","M3.5",0.42,0.245,12.1,4.5
"M4.0","M4.5",0.2,0.175,7.2,2.6
"M4.5","M5.5",0.175,0.135,2.2,0.8
"M4.5","M6.0",0.175,0.12,9.3,3.4
"M4.0",">L0",0.2,,14.0,5.1
"M2.0","M5.0",0.42,0.15,12.5,4.7
"M0.0","M3.5",0.59,0.245,17.3,6.4
"M3.5","M4.5",0.245,0.175,11.1,4.1
"M4.0","M5.5",0.2,0.135,10.0,3.7
"M0.0","M3.0",0.59,0.29,7.4,2.7
"M1.5","M3.0",0.48,0.29,61.2,22.6
"M3.0","M3.5",0.29,0.245,25.4,9.4
"M4.0","M5.5",0.2,0.135,2.3,0.8
"K7.0","M1.5",0.63,0.48,24.5,9.0
"M3.0","M3.5",0.29,0.245,27.7,10.2
"M2.0","M2.5",0.42,0.355,96.8,35.8
"M2.5","M6.0",0.355,0.12,227.1,84.0
"M3.5","M5.5",0.245,0.135,59.5,22.0
"M2.5","M3.0",0.355,0.29,47.9,17.7
"M4.0","M4.5",0.2,0.175,63.0,23.3
"M1.0","M4.5",0.54,0.175,31.6,11.7
"M2.0","M2.5",0.42,0.355,60.9,22.6
"K7.0","K7.5",0.63,0.61,43.3,15.9
"M4.5","M5.0",0.175,0.15,6.4,2.4
"M3.5","M4.0",0.245,0.2,17.7,6.6
"M3.0","M4.0",0.29,0.2,5.4,2.0
"M3.0","M6.0",0.29,0.12,101.2,37.4
"M2.0","M3.5",0.42,0.245,5.6,2.1
"M2.5","M4.0",0.355,0.2,148.7,55.0
"M2.5","M4.5",0.355,0.175,116.1,43.0
"M4.5","M5.0",0.175,0.15,23.8,8.8
"K5.0","M5.5",0.7,0.135,185.9,68.8
"K7.0","M2.5",0.63,0.355,148.9,55.1
"M3.0",">L0",0.29,,128.3,47.4
"M3.0","M4.0",0.29,0.2,164.6,60.9
"M4.0","M4.0",0.2,0.2,132.3,48.9
"M3.5","M4.5",0.245,0.175,151.2,55.9
"M4.0","M5.0",0.2,0.15,2.3,0.8
"M3.5","M3.5",0.245,0.245,61.2,22.6
"M3.5","M5.0",0.245,0.15,3.3,1.2
"M3.5","M5.0",0.245,0.15,6.5,2.4
"M3.5","M5.0",0.245,0.15,27.3,10.1
"M1.0","M2.0",0.54,0.42,38.2,14.1
"M2.0","M2.0",0.42,0.42,114.6,42.4
"M1.5","M4.5",0.48,0.175,236.1,87.4
"M3.0","M4.0",0.29,0.2,11.0,4.1
"M3.0","M5.0",0.29,0.15,38.3,14.2
